Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals
0.5,10,0,--,0,False,0.49,-0.0,4.622,3.658,0.135,2.068,2.093,0.493,0.02,0.026,[0.001 0.025 0.    0.    0.   ]
0.5,10,1,--,0,False,0.5,0.0,1.572,3.713,0.133,1.563,7.54,0.492,0.084,0.031,[0.005 0.026 0.    0.    0.   ]
0.5,10,2,--,0,False,0.5,-0.0,2.166,3.937,0.125,1.943,6.483,0.493,0.053,0.03,[0.003 0.027 0.    0.    0.   ]
0.5,10,0,--,0,False,0.5,-0.0,5.0,3.833,0.13,1.649,7.674,0.497,0.024,0.027,[0.001 0.025 0.    0.    0.   ]
0.5,10,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.]
0.5,10,1,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.]
2.5,45,0,--,4,False,2.5,44.89,0.227,0.009,0.567,2.11,7.961,1.771,1.764,0.87,[0.1  0.05 0.07 0.65 0.  ]
2.5,45,1,--,4,True,1.94,55.44,0.222,-0.775,0.421,3.074,7.994,1.1,1.597,0.367,[0.1   0.05  0.017 0.2   0.   ]
2.5,45,0,--,4,False,2.5,45.02,0.232,-0.001,0.58,1.695,7.952,1.768,1.769,0.809,[0.1   0.041 0.018 0.65  0.   ]
2.5,45,0,--,4,False,2.5,45.03,0.228,-0.003,0.572,2.085,7.967,1.768,1.77,0.936,[0.1   0.041 0.146 0.65  0.   ]
2.5,45,1,--,4,False,2.44,44.04,0.233,0.072,0.568,1.637,7.968,1.753,1.695,0.825,[0.1   0.042 0.032 0.65  0.   ]
2.5,45,0,--,4,False,2.5,45.05,0.231,-0.004,0.577,1.814,7.998,1.768,1.771,0.801,[0.1   0.042 0.01  0.65  0.   ]
2.5,45,1,--,4,False,2.48,45.26,0.228,-0.02,0.564,2.071,7.92,1.743,1.759,0.914,[0.1   0.05  0.114 0.65  0.   ]
2.5,45,0,--,4,False,2.5,45.0,0.228,-0.001,0.569,2.127,7.851,1.769,1.769,0.986,[0.1   0.048 0.188 0.65  0.   ]
2.5,45,1,--,4,False,2.47,45.1,0.227,-0.012,0.561,2.204,7.994,1.747,1.753,0.968,[0.1   0.05  0.168 0.65  0.   ]
2.5,45,0,--,4,False,2.5,45.03,0.23,-0.002,0.576,1.846,7.712,1.768,1.77,0.998,[0.1   0.048 0.2   0.65  0.   ]
2.5,45,1,--,4,True,2.5,45.02,0.225,-0.001,0.562,2.544,7.979,1.768,1.769,0.385,[0.1   0.05  0.035 0.2   0.   ]
2.5,45,2,--,3,False,2.38,46.12,0.229,-0.081,0.546,2.108,7.923,1.652,1.718,0.828,[0.1   0.048 0.03  0.65  0.   ]
2.5,45,3,--,4,False,2.46,44.46,0.225,0.041,0.552,2.597,7.837,1.755,1.722,0.8,[0.1   0.043 0.007 0.65  0.   ]
2.5,45,4,--,4,False,2.48,45.2,0.229,-0.015,0.568,1.959,7.907,1.745,1.757,0.858,[0.1   0.05  0.058 0.65  0.   ]
2.5,45,0,--,4,False,2.5,45.0,0.235,-0.001,0.588,1.505,7.921,1.769,1.769,0.907,[0.1   0.044 0.113 0.65  0.   ]
2.5,45,1,--,4,False,2.5,45.0,0.227,-0.001,0.568,2.264,7.987,1.769,1.769,0.803,[0.1   0.05  0.003 0.65  0.   ]
2.5,45,2,--,4,False,2.4,45.29,0.227,-0.02,0.546,2.207,7.987,1.692,1.709,0.858,[0.1   0.05  0.058 0.65  0.   ]
2.5,45,3,--,4,False,2.45,44.29,0.22,0.056,0.538,3.001,7.989,1.751,1.708,0.993,[0.1   0.044 0.198 0.65  0.   ]
